,Videos,Videotitel,Veröffentlichungszeitpunkt des Videos,Klicks auf Abspannelement,Klicks auf Infokartenteaser,Klicks auf Infokarte,Geteilte Inhalte,Kommentare hinzugefügt,„Mag ich“ und „Mag ich nicht“ im Vergleich (%),„Mag ich nicht“-Bewertungen,Likes,Verlorene Abonnenten,Gewonnene Abonnenten,Durchschnittliche Wiedergabedauer in Prozent (%),Im Feed angezeigt,Aufrufe,Wiedergabezeit (Stunden),Geschätzter Umsatz (EUR),Durchschnittliche Wiedergabedauer,Impressionen,Klickrate der Impressionen (%)
226,iZoN6ESUSKg,Frau zu Fuß im Flammenmeer: Rund um Los Angeles brennen die Berge | ntv,2024-09-13,137.0,0.0,0.0,19.0,23.0,81.43,13.0,57.0,0.0,8.0,62.69,0.0,4819.0,84.7603,7.637,0:01:03,60907.0,3.33
227,vOd68lc_AXk,"""Viel Geld auf der hohen Kante ist ein großer Fehler"": SPD-Chefin Esken im Frühstart | ntv",2024-10-28,136.0,27.0,0.0,443.0,1327.0,36.34,1135.0,648.0,5.0,81.0,34.32,0.0,85404.0,3729.4241,186.609,0:02:37,1086812.0,4.36
228,ygNkwfDsass,"""Spüre, dass Politik nicht mehr der Traumjob ist"" - CDU-General Linnemann im Frühstart | ntv",2024-10-08,136.0,3.0,0.0,52.0,183.0,72.17,91.0,236.0,0.0,15.0,40.28,0.0,24820.0,1446.7634,64.453,0:03:29,527457.0,3.32
229,HbzUu7zXgJk,"Jens Spahn im Frühstart: ""Olaf Scholz hat fertig"" | ntv",2024-11-11,135.0,0.0,0.0,63.0,419.0,79.83,119.0,471.0,1.0,40.0,51.33,0.0,36077.0,3240.6536,102.111,0:05:23,490232.0,5.36
230,jl2uPGEK-zQ,"""Glaube, dass Trump Kalifornien schon verloren sieht"" - Maschmeyer zu USA vor der Wahl | ntv",2024-10-16,132.0,2.0,0.0,33.0,73.0,78.88,49.0,183.0,2.0,12.0,46.26,0.0,19135.0,794.1284,31.478,0:02:29,202742.0,6.21
231,yitaPuYO8zg,"US-Präsident ""überwältigt"" - Biden bekommt deutschen Verdienstorden angesteckt | ntv",2024-10-18,131.0,11.0,0.0,230.0,554.0,54.26,311.0,369.0,3.0,26.0,35.6,0.0,17363.0,868.7355,42.197,0:03:00,247776.0,4.72
232,AzKLX5XjClM,Bombendrohungen und Betrugsvorwürfe: Das war die Wahlnacht in den USA | ntv,2024-11-06,127.0,1.0,0.0,10.0,53.0,81.37,19.0,83.0,1.0,6.0,38.5,0.0,14439.0,214.6209,11.171,0:00:53,317911.0,1.68
233, -NFO0Q4kMR0,"AfD-Erfolg kann ""für Wirtschaft nichts Gutes bedeuten"": Experten fürchten mehr Insolvenzen | ntv",2024-09-02,125.0,0.0,0.0,132.0,1084.0,23.99,884.0,279.0,4.0,20.0,48.19,0.0,36074.0,531.2252,30.766,0:00:53,1649819.0,1.56
234,yBrXauwVKUU,"""Haben keinen Grund, uns zu verstecken"" - Pistorius zu Deutschlands Zukunft nach US-Wahl | ntv",2024-11-06,124.0,6.0,0.0,60.0,160.0,86.06,64.0,395.0,1.0,8.0,27.58,0.0,44916.0,1094.2031,37.472,0:01:27,194806.0,6.35
235,lWEY8MzvuUw,"Blome und Augstein zur SPD: ""Scholz hat den Laden vor die Wand gefahren"" | ntv Gegenverkehr",2024-11-15,121.0,3.0,0.0,139.0,158.0,78.76,106.0,393.0,1.0,40.0,41.93,0.0,31133.0,812.1829,74.605,0:01:33,353622.0,3.98
236,B7Gl-o1imGw,"Frau ""hat zwei rote Ampel überfahren - ohne Bremsspur"" - ntv-Reporter an Unfallstelle | ntv",2024-09-19,119.0,0.0,0.0,49.0,45.0,92.41,17.0,207.0,2.0,6.0,56.98,0.0,13318.0,349.9255,22.525,0:01:34,162365.0,4.92
237,rRpDpfVdOeQ,"Namhafte Unterstützung für Harris: Michelle Obama warnt vor ""falschem Wahlausgang"" | ntv",2024-10-27,119.0,3.0,0.0,41.0,181.0,37.45,167.0,100.0,5.0,6.0,52.99,0.0,14006.0,261.8201,16.766,0:01:07,321888.0,2.57
238,wu7PQvmjJ_w,"""Trump schmeißt wirre Anschuldigungen in den Raum"" - Expertin zu TV-Duell mit Harris  | ntv",2024-09-11,119.0,5.0,0.0,52.0,161.0,69.43,151.0,343.0,0.0,23.0,53.4,0.0,26134.0,1217.2058,44.259,0:02:47,656571.0,2.68
