Videos;Videotitel;Veröffentlichungszeitpunkt des Videos;Klicks auf Abspannelement;Klicks auf Infokartenteaser;Klicks auf Infokarte;Geteilte Inhalte;Kommentare hinzugefügt;„Mag ich“ und „Mag ich nicht“ im Vergleich (%);„Mag ich nicht“-Bewertungen;Likes;Verlorene Abonnenten;Gewonnene Abonnenten;Durchschnittliche Wiedergabedauer in Prozent (%);Im Feed angezeigt;Aufrufe;Wiedergabezeit (Stunden);Geschätzter Umsatz (EUR);Durchschnittliche Wiedergabedauer;Impressionen;Klickrate der Impressionen (%);Länge des Videos (sek);Thema;Bewertung Titel;Gestaltung Thumbnail
FSNh-YOfmJc;Digitales Bezahlen: Einfacher, günstiger, sicherer? | ntv;13.11.2024;30;0;0;120;130;7273;60;160;10;10;2812;0;9360;388953;2692;00:02:29;273300;216;;;;
vXN3zvXuB8E;Lindners Miene versteinert: Scholz lobt deutschen Schuldenkurs und erntet Gelächter | ntv;13.11.2024;1860;0;0;1810;2550;586;1710;2420;30;190;6643;0;257810;5233317;49737;00:01:13;9752390;189;;;;
dDKgoFhZUYk;"Jäger analysiert Nominierungen: Putin-Feind in Trump-Team ist ""wirklich Überraschung"" | ntv";13.11.2024;6290;270;0;4400;3270;9306;1600;21470;110;1880;4996;0;2301250;90370911;465663;00:02:21;23100900;57;;;;
sAejjrN46Qc;Longevity-Hype: Wie realistisch ist ewige Jugend? | ntv;13.11.2024;20;0;0;60;130;5294;80;90;0;0;2543;0;6350;266446;2347;00:02:31;191940;209;;;;
Har6_YjZiao;"Von Lucke zum Regierungscrash: ""Drei Jahre Ampeldesaster - Kakofonie des ewigen Streits"" | ntv";13.11.2024;540;0;0;730;1250;8201;680;3100;0;160;3811;0;347660;10121801;59571;00:01:44;7812160;167;;;;
uawNDphWPZQ;Elon Musk im US-Regierungs-Team: Reichster Mann der Welt soll Trump beim Sparen helfen | ntv;13.11.2024;3570;40;0;2020;2490;8062;630;2620;60;300;5592;10;314540;5472539;41244;00:01:02;13931950;16;;;;
2AD9Zid57Xc;Regierungserklärung in Gänze: Scholz spricht unter Zwischenrufen zum Ampel-Aus | ntv;13.11.2024;1500;0;0;2190;4460;5063;3120;3200;80;920;2421;0;384450;44756403;16313;00:06:59;27823040;97;;;;
d3t0qCae_WE;"Medien verstärken Propaganda - Munz: ""Beim Einkaufen in Moskau spürt man Verärgerung"" | ntv";13.11.2024;12860;0;0;2560;6920;8854;3750;28970;80;2060;6106;0;3659630;87524756;74601;00:01:26;26703510;843;;;;
TrpiyGUFgWY;"BSW-Chefin Wagenknecht mit Rundumschlag: Lindner ""arrogant"", Grüne ""nicht seriös"" | ntv";14.11.2024;10070;30;0;10530;12550;9132;3720;39130;120;2970;4456;0;2150200;182829775;864857;00:05:06;31782550;379;;;;
dVVm-Unp_Ws;"Deutschlandticket - ""auf jeden Fall eine Lösung finden"": Hasselmann im Frühstart | ntv";14.11.2024;150;0;0;100;1220;2949;1100;460;0;30;3049;0;58510;23541;12563;00:02:24;4016980;104;;;;
gMzYMmJBxKg;Zwei Waschmaschinen fallen bei Stiftung Warentest durch | ntv Service;14.11.2024;910;20;0;2100;310;9435;160;2670;40;570;3242;0;1949680;23351598;190461;00:00:43;5378920;474;;;;
