video_id;title;publish_date;video_length_seconds;wiedergabezeit_minuten;durchschnittliche_wiedergabedauer;durchschnittliche_wiedergabedauer_prozent;gewonnene_abonnenten;verlorene_abonnenten;aufrufe;likes;dislikes;geteilte_inhalte;kommentare;audience_female_age18-24;audience_male_age18-24;audience_female_age25-34;audience_male_age25-34;audience_female_age35-44;audience_male_age35-44;audience_female_age45-54;audience_male_age45-54;audience_female_age55-64;audience_male_age55-64;audience_female_age65-;audience_male_age65-;audience_female_age13-17;audience_male_age13-17;Neue Zuschauer;Klicks auf Abspannelement;Klicks auf Infokartenteaser;Klicks auf Infokarte;Mag ich nicht-Bewertungen;Im Feed angezeigt;Impressionen;Klickrate der Impressionen (%);Thema;Bewertung_Titel;Gestaltung_Thumbnail
kh7ESJWqyNo;"""Trümmerteile in Elbe """"könnten wie ein Pfropfen wirken"""" - Hochwassergefahr in Dresden  | ntv""";12.09.2024 11:22;162;112163;74,0;46,15;56,0;1;90014;499;111;169;360,0;1,3;5,5;3,0;15,3;3,4;15,3;3,5;10,9;5,3;13,7;7,3;15,3;;;20860,0;1508;14;29;111;0;3044947,0;1,85;Sonstiges;6,0;3
6K5bp1mCotM;Brasilien: Flugzeug schießt über Landebahn hinaus | #ntv #shorts #flugzeug;26.04.2024 14:12;53;1949;24,0;46,34;0,0;0;4762;40;3;10;1,0;;2,4;0,7;7,7;1,5;10,8;1,8;11,5;4,0;21,7;8,5;29,4;;;166,0;0;0;0;3;8378;11996,0;3,38;Sonstiges;7,0;2
rr92gZgA6ag;Wichtige Versorgung aus der Luft: Drohnen bringen in der Ukraine nicht nur den Tod | ntv;15.11.2024 14:56;151;3608;70,0;46,42;0,0;0;3089;44;6;4;16,0;;;;7,4;1,1;12,0;1,2;16,1;2,1;21,1;6,8;32,1;;;233,0;29;0;0;6;0;57849,0;3,68;Krieg;8,0;3
1i7MKCXBvMk;NGO-Chef: Mitarbeiter in Israel seien gezielt angegriffen worden | ntv;04.04.2024 17:18;182;3501;85,0;46,88;1,0;3;2462;64;10;33;27,0;;2,9;1,1;16,7;1,5;11,4;4,9;13,1;8,4;13,4;10,8;15,6;;;300,0;0;0;0;10;0;44371,0;3,27;Krieg;8,0;1
BVvUJdWk5aY;Entdeckung im Pazifik: Meeresforscher finden vier neue Oktopusarten | #ntv #shorts;19.01.2024 11:42;59;1524;27,0;46,94;2,0;0;3303;64;1;8;0,0;2,7;11,8;3,0;15,9;3,1;14,1;3,2;10,9;4,0;11,4;5,5;12,2;10,0;11,0;1231,0;0;0;0;1;6202;10137,0;3,66;Sonstiges;7,0;2
LhwfqfK08hI;Künstliche Intelligenz wird menschlicher | ntv;14.05.2024 13:38;119;559;56,0;47,37;0,0;0;596;8;0;8;8,0;;;;;;;;;;;;;;;196,0;0;0;0;0;0;12564,0;1,88;Wirtschaft;6,0;1
7lmbUWdHNGo;Preissteigerung beim Kaffee - damit müssen Verbraucher rechnen | #ntv;27.11.2024 13:30;94;355;45,0;48,62;0,0;0;467;8;4;7;5,0;;;;;;;;;;;;;;;36,0;0;0;0;4;975;10572,0;1,63;Wirtschaft;8,0;2
w6Mgt7gGTlE;"""""""Rattenrennen, wer 'den Ausländer' schlechter behandelt"""" - Augstein fährt Blome zum Kanzler | ntv""";13.09.2024 08:14;233;7138;114,0;48,97;2,0;1;3754;57;36;33;34,0;;;;6,1;0,7;9,9;2,6;14,1;7,8;20,1;13,8;24,9;;;123,0;0;0;0;36;0;51165,0;4,91;Politik;6,0;3
K7fJrzBrihc;"""Wiederholungstäter Höcke nutzt weiter SA-Parolen - Von Lucke: """"geschicktes Spiel""""  | ntv""";07.05.2024 16:27;221;16209;109,0;49,68;10,0;0;8858;103;146;38;208,0;;3,5;0,5;10,0;0,7;10,8;1,8;12,1;5,6;16,9;12,5;25,7;;;1317,0;20;0;0;146;0;82506,0;6,66;Politik;7,0;1
S1X3FPQWLdI;Israelis ziehen mit Fackeln vor Netanjahus Haus | #ntv #shorts #israel #netanyahu;03.04.2024 15:52;50;1830;25,0;51,82;1,0;0;4240;75;3;18;14,0;;1,5;0,5;4,9;1,2;12,1;0,9;12,4;2,9;27,2;8,1;28,4;;;250,0;0;0;0;3;6318;7063,0;2,0;Krieg;6,0;2
rRpDpfVdOeQ;"""Namhafte Unterstützung für Harris: Michelle Obama warnt vor """"falschem Wahlausgang"""" | ntv""";27.10.2024 13:20;127;15270;67,0;52,98;5,0;5;13617;101;165;36;179,0;0,6;4,3;1,6;11,8;3,1;12,9;3,8;13,5;7,1;16,9;8,6;15,7;;;1690,0;117;3;0;165;0;317379,0;2,54;Politik;7,0;3
rBnNRVylQo8;Mehr zum Leben als #David gegen #Goliath seht ihr in der neuen Folge Auslandsreport auf RTL+;19.03.2024 17:26;60;1372;31,0;53,28;2,0;0;2576;46;8;4;1,0;1,0;8,0;2,3;16,8;2,7;14,2;2,5;14,9;2,7;18,2;4,2;12,5;;;656,0;0;0;0;8;9335;8254,0;1,64;Sonstiges;5,0;2
3IVw8kkBCxQ;"""LNG-Lieferungen sogar gestiegen - """"Haben die ganze Zeit weiter Gas aus Russland bezogen"""" | ntv""";20.06.2024 09:18;116;8176;61,0;53,34;3,0;0;7928;106;11;42;40,0;;1,0;;4,2;1,1;8,2;1,3;12,4;4,2;23,2;8,7;35,7;;;309,0;0;0;0;11;0;70733,0;5,75;Wirtschaft;7,0;2
2UCh0aC1UZo;Vogelgrippe-Ausbruch - Milchproben in Bad Bentheim aber bisher frei von H5N1 | ntv;12.07.2024 14:46;121;4987;64,0;0,0;2,0;0;4623;85;32;98;75,0;;1,9;1,8;5,6;4,0;9,8;6,8;12,6;14,0;16,5;12,7;14,3;;;375,0;34;0;0;32;0;51297,0;5,43;Sonstiges;7,0;1
1p__yxGO7PU;Mindestens drei Tote durch Tornados in den USA | #ntv #shorts #usa #tornado;10.05.2024 12:21;56;1120;30,0;53,61;0,0;0;2239;33;5;14;0,0;;2,8;;4,5;;4,2;1,3;5,1;9,4;18,1;22,8;31,7;;;517,0;0;0;0;5;5575;9951,0;1,76;Sonstiges;6,0;2
AYI1Uh9GndI;Foto des IS soll Solinger Attentäter zeigen - Scholz besucht Tatort | ntv;26.08.2024 08:41;89;11227;48,0;54,51;14,0;0;13887;83;79;23;207,0;3,2;9,6;6,5;19,2;5,7;13,9;4,7;8,4;5,9;8,0;7,3;7,8;;;4104,0;0;0;0;79;0;822881,0;1,21;Sonstiges;7,0;3
dyZ9p0kpGVE;Argentinien: Bergretter finden Leiche einer 19-jährigen Deutschen | #ntv #shorts;28.05.2024 16:16;60;5546;32,0;54,51;6,0;0;10175;71;11;10;7,0;0,6;5,4;1,5;12,8;2,6;15,2;2,8;12,8;5,5;15,3;9,0;16,6;;;1164,0;0;0;0;11;18042;12859,0;2,63;Sonstiges;7,0;2
A0LVL3EFQ-s;Pompeji: Archäologen entdecken Skelette von Vulkanausbruch | #ntv #shorts #pompeii #archeology;14.08.2024 11:39;48;1912;26,0;54,62;8,0;0;4376;86;4;2;1,0;0,9;12,9;2,4;25,7;1,0;19,0;0,9;6,7;2,7;12,6;4,0;11,4;;;203,0;0;0;0;4;9248;21753,0;3,31;Sonstiges;6,0;2
icGRNm81z14;"""Habeck will Unternehmen mit """"Deutschlandfonds"""" boosten - Lindner übt Kritik | ntv""";23.10.2024 09:10;120;27503;65,0;54,79;21,0;0;25099;290;130;82;422,0;0,5;4,5;1,4;14,7;1,8;13,4;2,7;11,0;6,0;15,5;10,0;18,5;;;1914,0;222;4;0;130;0;827618,0;2,25;Wirtschaft;7,0;3
tzHdLlNzpFM;"""Scholz """"hat die Schröder-Linie kopiert"""" - Politologe Von Lucke im ntv Frühstart | ntv""";28.03.2024 13:33;420;61886;231,0;55,06;17,0;1;16057;248;38;39;65,0;;0,6;0,2;2,5;0,7;5,3;1,7;8,0;5,7;18,8;18,7;37,7;;;1025,0;0;0;0;38;0;182216,0;5,51;Politik;7,0;3
