durchschnittliche_wiedergabedauer;aufrufe;Klickrate der Impressionen (%)
163,0;393;2,14
116,0;6921;2,13
97,0;38957;5,29
55,0;41542;1,46
55,0;29572;7,51
60,0;2684;4,11
45,0;47805;2,13
200,0;125084;9,93
230,0;2117;3,22
97,0;1725;1,88
79,0;4825;1,7
68,0;78153;1,19
46,0;17120;1,01
69,0;15440;5,34
75,0;473;1,76
272,0;25465;8,5
311,0;37033;2,87
62,0;12521;6,07
55,0;88778;1,14
76,0;1950;3,12
58,0;728;2,56
154,0;3113;4,18
51,0;5295;3,43
250,0;142449;5,44
52,0;10000;2,47
58,0;1428;5,34
57,0;57602;4,35
109,0;8858;6,66
231,0;16057;5,51
292,0;1681;2,57
109,0;880;1,86
125,0;13027;5,19
66,0;68942;1,09
119,0;4547;1,53
83,0;534;1,12
308,0;10153;5,43
164,0;1218;3,14
272,0;979;2,92
123,0;392;1,25
51,0;6028;1,28
1068,0;7724;3,36
55,0;17985;1,12
49,0;27743;1,81
97,0;668;2,8
103,0;28743;2,54
95,0;11826;8,45
98,0;161584;5,36
150,0;17331;5,2
48,0;15384;1,2
147,0;31612;5,12
